Mode/Line,Station,TotalBoardings
Canada Line,Aberdeen Station,92000
Canada Line,Bridgeport Station,172000
Canada Line,Broadway–City Hall Station,302000
Canada Line,King Edward Station,148000
Canada Line,Langara–49th Avenue Station,157000
Canada Line,Lansdowne Station,87000
Canada Line,Marine Drive Station,265000
Canada Line,Oakridge–41st Avenue Station,176000
Canada Line,Olympic Village Station,93000
Canada Line,Richmond–Brighouse Station,240000
Canada Line,Sea Island Station,22000
Canada Line,Templeton Station,51000
Canada Line,Vancouver City Centre Station,313000
Canada Line,Waterfront Station,236000
Canada Line,Yaletown–Roundhouse Station,222000
Canada Line,YVR–Airport Station,67000
Expo/Millennium Lines,22nd Street Station,278000
Expo/Millennium Lines,29th Avenue Station,182000
Expo/Millennium Lines,Braid Station,116000
Expo/Millennium Lines,Brentwood Town Centre Station,119000
Expo/Millennium Lines,Burquitlam Station,96000
Expo/Millennium Lines,Burrard Station,423000
Expo/Millennium Lines,Columbia Station,120000
Expo/Millennium Lines,Commercial–Broadway Station,560000
Expo/Millennium Lines,Coquitlam Central Station,116000
Expo/Millennium Lines,Edmonds Station,283000
Expo/Millennium Lines,Gateway Station,159000
Expo/Millennium Lines,Gilmore Station,82000
Expo/Millennium Lines,Granville Station,386000
Expo/Millennium Lines,Holdom Station,70000
Expo/Millennium Lines,Inlet Centre Station,48000
Expo/Millennium Lines,Joyce–Collingwood Station,407000
Expo/Millennium Lines,King George Station,329000
Expo/Millennium Lines,Lafarge Lake-Douglas Station,43000
Expo/Millennium Lines,Lake City Way Station,29000
Expo/Millennium Lines,Lincoln Station,91000
Expo/Millennium Lines,Lougheed Town Centre Station,275000
Expo/Millennium Lines,Main Street–Science World Station,271000
Expo/Millennium Lines,Metrotown Station,595000
Expo/Millennium Lines,Moody Centre Station,58000
Expo/Millennium Lines,Nanaimo Station,166000
Expo/Millennium Lines,New Westminster Station,365000
Expo/Millennium Lines,Patterson Station,108000
Expo/Millennium Lines,Production Way–University Station,96000
Expo/Millennium Lines,Renfrew Station,80000
Expo/Millennium Lines,Royal Oak Station,139000
Expo/Millennium Lines,Rupert Station,83000
Expo/Millennium Lines,Sapperton Station,71000
Expo/Millennium Lines,Scott Road Station,256000
Expo/Millennium Lines,Sperling–Burnaby Lake Station,44000
Expo/Millennium Lines,Stadium–Chinatown Station,288000
Expo/Millennium Lines,Surrey Central Station,358000
Expo/Millennium Lines,VCC–Clark Station,57000
Expo/Millennium Lines,Waterfront Station,277000
West Coast Express,Coquitlam Central Station ,7000
West Coast Express,Maple Meadows Station,5000
West Coast Express,Mission City Station,6000
West Coast Express,Moody Centre Station,7000
West Coast Express,Pitt Meadows Station,3000
West Coast Express,Port Coquitlam Station,8000
West Coast Express,Port Haney Station,4000
West Coast Express,Waterfront Station,33000
